ProjectID,ProjectName,Description,StartDate,EndDate,ManagerID
1,Reading to Patients #1,Project For Reading to Patients #1,2024-04-08,2024-06-30,19
2,Child Life Volunteer Program #2,Project For Child Life Volunteer Program #2,2024-04-28,2024-06-10,46
3,Hospital Fundraising Team #3,Project For Hospital Fundraising Team #3,2024-01-25,2024-05-26,16
4,Child Life Volunteer Program #4,Project For Child Life Volunteer Program #4,2024-12-31,2025-04-18,40
5,Language Interpretation for Patients #5,Project For Language Interpretation for Patients #5,2024-11-04,2025-01-08,20
6,Reading to Patients #6,Project For Reading to Patients #6,2024-02-01,2024-03-03,45
7,Cancer Support Group #7,Project For Cancer Support Group #7,2024-05-01,2024-07-25,44
8,Elderly Companionship #8,Project For Elderly Companionship #8,2024-07-02,2024-10-30,49
9,Reading to Patients #9,Project For Reading to Patients #9,2024-05-18,2024-08-19,48
10,Emergency Room Assistance #10,Project For Emergency Room Assistance #10,2024-01-06,2024-04-15,5
11,Elderly Companionship #11,Project For Elderly Companionship #11,2024-10-13,2025-01-07,35
12,NICU Baby Cuddler #12,Project For NICU Baby Cuddler #12,2024-06-17,2024-08-19,15
13,Hospital Greeter Program #13,Project For Hospital Greeter Program #13,2024-09-06,2025-01-19,16
14,Language Interpretation for Patients #14,Project For Language Interpretation for Patients #14,2024-07-06,2024-10-17,39
15,Art Therapy for Patients #15,Project For Art Therapy for Patients #15,2024-12-29,2025-03-17,10
16,Cancer Support Group #16,Project For Cancer Support Group #16,2024-08-23,2025-01-06,15
17,Medical Supply Organization #17,Project For Medical Supply Organization #17,2024-01-03,2024-03-21,18
18,Hospital Greeter Program #18,Project For Hospital Greeter Program #18,2024-04-22,2024-09-03,30
19,Music Therapy Sessions #19,Project For Music Therapy Sessions #19,2024-10-01,2024-11-11,19
20,Hospital Fundraising Team #20,Project For Hospital Fundraising Team #20,2024-12-11,2025-01-21,42
21,Emergency Room Assistance #21,Project For Emergency Room Assistance #21,2024-06-13,2024-08-26,5
22,Post-Surgery Assistance #22,Project For Post-Surgery Assistance #22,2024-12-05,2025-05-25,2
23,Hospital Fundraising Team #23,Project For Hospital Fundraising Team #23,2024-09-22,2025-02-12,20
24,NICU Baby Cuddler #24,Project For NICU Baby Cuddler #24,2024-08-01,2024-11-17,48
25,Elderly Companionship #25,Project For Elderly Companionship #25,2024-01-20,2024-05-10,46
26,Wheelchair Assistance #26,Project For Wheelchair Assistance #26,2024-11-13,2025-02-18,23
27,Hospital Greeter Program #27,Project For Hospital Greeter Program #27,2024-08-23,2025-01-01,46
28,Reading to Patients #28,Project For Reading to Patients #28,2024-09-10,2024-11-26,30
29,Hospital Greeter Program #29,Project For Hospital Greeter Program #29,2024-10-14,2025-01-19,39
30,Support for Families #30,Project For Support for Families #30,2024-07-17,2024-08-16,26
31,Language Interpretation for Patients #31,Project For Language Interpretation for Patients #31,2024-02-09,2024-04-13,26
32,NICU Baby Cuddler #32,Project For NICU Baby Cuddler #32,2024-07-09,2024-09-23,18
