ShiftID,StartTime,EndTime,ShiftDate
1,16:00:00,18:00:00,2025-02-08
2,13:00:00,20:00:00,2024-12-26
3,23:30:00,07:30:00,2025-12-29
4,07:00:00,14:00:00,2025-08-11
5,17:30:00,19:30:00,2024-07-23
6,16:00:00,19:00:00,2024-12-24
7,19:00:00,02:00:00,2024-03-29
8,11:30:00,18:30:00,2024-08-11
9,06:30:00,11:30:00,2024-06-09
10,18:30:00,23:30:00,2024-08-20
11,13:30:00,16:30:00,2025-07-30
12,22:00:00,05:00:00,2024-11-24
13,16:30:00,22:30:00,2024-11-01
14,22:00:00,01:00:00,2025-07-16
15,15:30:00,23:30:00,2025-09-21
16,09:30:00,14:30:00,2024-08-06
17,03:30:00,10:30:00,2024-04-03
18,05:30:00,11:30:00,2024-11-15
19,00:00:00,04:00:00,2025-04-03
20,16:30:00,00:30:00,2025-11-07
21,22:00:00,00:00:00,2025-06-26
22,14:00:00,20:00:00,2025-04-13
23,16:00:00,22:00:00,2024-11-15
24,12:00:00,18:00:00,2024-09-15
25,00:00:00,04:00:00,2024-12-21
26,09:00:00,17:00:00,2024-04-01
27,11:00:00,16:00:00,2024-10-30
28,20:00:00,03:00:00,2025-09-11
29,09:00:00,12:00:00,2024-02-10
30,15:30:00,21:30:00,2025-06-10
31,13:00:00,20:00:00,2025-12-22
32,18:00:00,21:00:00,2024-03-02
33,23:30:00,05:30:00,2024-03-30
34,10:30:00,17:30:00,2025-07-20
35,13:30:00,17:30:00,2024-06-05
36,04:00:00,07:00:00,2024-11-03
37,06:00:00,08:00:00,2025-12-24
38,07:00:00,15:00:00,2025-07-10
39,07:00:00,10:00:00,2025-11-28
40,11:30:00,19:30:00,2025-10-01
41,01:30:00,04:30:00,2024-06-26
42,09:30:00,17:30:00,2025-06-30
43,01:30:00,07:30:00,2025-12-11
44,18:00:00,20:00:00,2024-07-03
45,23:30:00,05:30:00,2025-11-13
46,08:30:00,13:30:00,2024-08-05
47,05:00:00,08:00:00,2025-03-13
48,18:30:00,01:30:00,2024-02-03
49,04:00:00,06:00:00,2024-07-09
50,10:30:00,12:30:00,2024-06-29
51,20:00:00,02:00:00,2025-12-13
52,05:30:00,10:30:00,2025-01-25
53,13:00:00,16:00:00,2024-02-24
54,14:00:00,19:00:00,2025-01-26
55,22:30:00,00:30:00,2024-05-04
56,08:30:00,11:30:00,2024-02-16
57,20:00:00,02:00:00,2024-05-27
58,09:00:00,14:00:00,2025-04-28
59,22:30:00,03:30:00,2025-06-19
60,04:30:00,07:30:00,2024-01-21
61,17:30:00,23:30:00,2024-07-06
62,17:30:00,01:30:00,2025-04-05
63,11:30:00,14:30:00,2025-09-20
64,11:30:00,15:30:00,2024-12-11
65,19:00:00,22:00:00,2025-05-13
66,14:30:00,20:30:00,2024-07-09
67,10:00:00,13:00:00,2025-07-24
68,20:00:00,22:00:00,2024-10-14
69,21:30:00,02:30:00,2024-01-07
70,04:00:00,07:00:00,2025-01-07
71,05:00:00,10:00:00,2024-08-27
72,21:30:00,03:30:00,2025-01-08
73,12:30:00,14:30:00,2025-06-08
74,06:00:00,09:00:00,2024-10-07
75,09:30:00,11:30:00,2024-12-29
76,06:00:00,08:00:00,2025-09-11
77,07:00:00,10:00:00,2025-04-23
78,20:30:00,04:30:00,2025-11-27
79,18:30:00,23:30:00,2025-10-27
80,19:00:00,22:00:00,2025-11-25
81,23:00:00,03:00:00,2025-04-25
82,05:30:00,08:30:00,2025-10-28
83,04:00:00,12:00:00,2024-10-07
84,02:00:00,05:00:00,2025-09-04
85,00:00:00,02:00:00,2024-08-22
86,12:30:00,14:30:00,2024-03-18
87,16:00:00,19:00:00,2025-01-03
88,18:00:00,00:00:00,2024-11-01
89,03:30:00,05:30:00,2025-08-18
90,04:00:00,08:00:00,2024-10-02
91,23:00:00,03:00:00,2024-11-08
92,18:00:00,00:00:00,2024-11-15
93,00:30:00,02:30:00,2025-02-05
94,20:00:00,23:00:00,2024-03-04
95,03:30:00,06:30:00,2024-04-15
96,11:30:00,19:30:00,2025-12-09
97,02:00:00,05:00:00,2025-02-22
98,00:00:00,02:00:00,2025-06-19
99,11:30:00,15:30:00,2024-12-21
100,12:30:00,14:30:00,2024-06-23
101,15:00:00,23:00:00,2025-03-14
102,18:30:00,00:30:00,2025-05-03
103,05:00:00,11:00:00,2025-03-30
104,09:30:00,15:30:00,2024-03-30
105,12:00:00,14:00:00,2024-05-20
106,08:30:00,13:30:00,2025-02-10
107,11:30:00,19:30:00,2025-12-04
108,09:30:00,14:30:00,2025-05-01
109,08:30:00,16:30:00,2025-10-10
110,18:00:00,20:00:00,2025-07-31
111,19:00:00,02:00:00,2024-09-07
112,16:00:00,22:00:00,2024-07-08
113,10:30:00,17:30:00,2025-03-22
114,12:30:00,20:30:00,2025-02-24
115,15:00:00,22:00:00,2024-04-29
116,02:00:00,07:00:00,2025-09-28
117,12:00:00,14:00:00,2024-07-24
118,17:30:00,01:30:00,2025-03-19
119,16:30:00,00:30:00,2025-07-16
120,15:00:00,23:00:00,2025-04-05
121,06:00:00,11:00:00,2024-07-02
122,04:30:00,10:30:00,2025-10-14
123,06:00:00,12:00:00,2025-10-17
124,12:30:00,20:30:00,2024-10-29
125,11:00:00,17:00:00,2025-09-25
126,05:30:00,11:30:00,2024-03-19
127,04:00:00,06:00:00,2024-08-05
128,10:00:00,17:00:00,2025-12-15
129,13:30:00,16:30:00,2024-10-26
130,05:00:00,07:00:00,2024-11-20
131,22:00:00,05:00:00,2024-01-26
132,12:00:00,18:00:00,2025-03-15
133,06:00:00,10:00:00,2024-10-21
134,14:30:00,21:30:00,2024-09-21
135,23:30:00,07:30:00,2025-05-04
136,09:00:00,16:00:00,2024-08-05
137,13:00:00,19:00:00,2025-05-27
138,22:30:00,05:30:00,2024-05-29
139,17:30:00,01:30:00,2024-06-10
140,14:00:00,16:00:00,2025-08-11
141,20:30:00,23:30:00,2024-09-27
142,10:00:00,13:00:00,2025-01-01
143,22:00:00,00:00:00,2025-10-04
144,05:00:00,11:00:00,2024-09-23
145,08:00:00,10:00:00,2024-09-22
146,01:00:00,06:00:00,2025-08-09
147,01:00:00,04:00:00,2024-09-27
148,04:30:00,12:30:00,2025-04-09
149,16:00:00,00:00:00,2024-02-10
150,01:30:00,06:30:00,2024-01-28
151,18:00:00,01:00:00,2025-05-21
152,08:30:00,13:30:00,2024-03-10
153,07:00:00,12:00:00,2025-01-28
154,04:00:00,07:00:00,2024-01-16
155,16:30:00,18:30:00,2024-12-09
156,13:00:00,16:00:00,2025-03-29
157,03:00:00,05:00:00,2024-12-27
158,19:00:00,01:00:00,2024-06-07
159,21:00:00,04:00:00,2024-05-20
160,19:30:00,23:30:00,2025-05-26
161,14:00:00,19:00:00,2024-03-02
162,16:30:00,21:30:00,2024-12-11
163,09:30:00,15:30:00,2024-07-01
164,13:00:00,20:00:00,2024-07-29
165,03:30:00,05:30:00,2025-10-26
166,09:00:00,11:00:00,2025-12-31
167,17:00:00,19:00:00,2025-07-29
168,07:00:00,15:00:00,2025-07-25
169,23:30:00,03:30:00,2024-01-22
170,22:30:00,05:30:00,2024-05-18
171,22:00:00,04:00:00,2024-04-02
172,06:00:00,12:00:00,2025-01-29
173,22:00:00,03:00:00,2024-12-22
174,08:00:00,11:00:00,2025-09-28
175,05:00:00,07:00:00,2025-07-24
176,21:00:00,04:00:00,2025-12-25
177,17:30:00,01:30:00,2025-07-13
178,17:00:00,21:00:00,2024-02-27
179,17:00:00,23:00:00,2024-11-15
180,03:30:00,07:30:00,2024-11-06
181,15:00:00,20:00:00,2025-08-18
182,06:00:00,12:00:00,2024-09-12
183,18:00:00,22:00:00,2025-02-26
184,18:30:00,01:30:00,2024-01-04
185,01:00:00,05:00:00,2025-04-19
186,13:30:00,15:30:00,2024-10-10
187,17:30:00,23:30:00,2024-05-03
188,07:00:00,11:00:00,2024-07-10
189,05:00:00,07:00:00,2024-01-03
190,09:30:00,15:30:00,2025-09-21
191,00:00:00,04:00:00,2025-08-02
192,11:30:00,13:30:00,2025-05-23
193,00:30:00,08:30:00,2024-04-27
