ShiftID,StartTime,EndTime,ShiftDate
1,16:00:00,18:00:00,08/02/2025
2,13:00:00,20:00:00,26/12/2024
3,23:30:00,07:30:00,29/12/2025
4,07:00:00,14:00:00,11/08/2025
5,17:30:00,19:30:00,23/07/2024
6,16:00:00,19:00:00,24/12/2024
7,19:00:00,02:00:00,29/03/2024
8,11:30:00,18:30:00,11/08/2024
9,06:30:00,11:30:00,09/06/2024
10,18:30:00,23:30:00,20/08/2024
11,13:30:00,16:30:00,30/07/2025
12,22:00:00,05:00:00,24/11/2024
13,16:30:00,22:30:00,01/11/2024
14,22:00:00,01:00:00,16/07/2025
15,15:30:00,23:30:00,21/09/2025
16,09:30:00,14:30:00,06/08/2024
17,03:30:00,10:30:00,03/04/2024
18,05:30:00,11:30:00,15/11/2024
19,00:00:00,04:00:00,03/04/2025
20,16:30:00,00:30:00,07/11/2025
21,22:00:00,00:00:00,26/06/2025
22,14:00:00,20:00:00,13/04/2025
23,16:00:00,22:00:00,15/11/2024
24,12:00:00,18:00:00,15/09/2024
25,00:00:00,04:00:00,21/12/2024
26,09:00:00,17:00:00,01/04/2024
27,11:00:00,16:00:00,30/10/2024
28,20:00:00,03:00:00,11/09/2025
29,09:00:00,12:00:00,10/02/2024
30,15:30:00,21:30:00,10/06/2025
31,13:00:00,20:00:00,22/12/2025
32,18:00:00,21:00:00,02/03/2024
33,23:30:00,05:30:00,30/03/2024
34,10:30:00,17:30:00,20/07/2025
35,13:30:00,17:30:00,05/06/2024
36,04:00:00,07:00:00,03/11/2024
37,06:00:00,08:00:00,24/12/2025
38,07:00:00,15:00:00,10/07/2025
39,07:00:00,10:00:00,28/11/2025
40,11:30:00,19:30:00,01/10/2025
41,01:30:00,04:30:00,26/06/2024
42,09:30:00,17:30:00,30/06/2025
43,01:30:00,07:30:00,11/12/2025
44,18:00:00,20:00:00,03/07/2024
45,23:30:00,05:30:00,13/11/2025
46,08:30:00,13:30:00,05/08/2024
47,05:00:00,08:00:00,13/03/2025
48,18:30:00,01:30:00,03/02/2024
49,04:00:00,06:00:00,09/07/2024
50,10:30:00,12:30:00,29/06/2024
51,20:00:00,02:00:00,13/12/2025
52,05:30:00,10:30:00,25/01/2025
