VolunteerTypeID,TypeName
1,Patient Transport
2,Reception Assistance
3,Emergency Room Support
4,Pediatric Ward Assistance
5,Elderly Care Support
6,Surgical Waiting Room Guide
7,Cancer Patient Support
8,Mental Health Companion
9,Physical Therapy Aid
10,Art Therapy Volunteer
11,Music Therapy Assistant
12,Playroom Supervision
13,Waiting Room Hospitality
14,ICU Family Support
15,Bereavement Support
16,Blood Bank Assistant
17,Lab Sample Courier
18,Pharmacy Support
19,Wheelchair Assistance
20,Medical Records Organization
21,Pediatric Play Therapy
22,Clerical Support
23,Spiritual Care
24,Library Cart Volunteer
25,Gift Shop Helper
26,Therapy Animal Handler
27,Food Delivery for Patients
28,Language Interpretation
29,Chaplaincy Assistance
30,Dental Clinic Helper
31,Physiotherapy Support
32,Hospice Volunteer
33,Family Liaison
34,Pre-Op Companion
35,Recovery Room Support
36,Vision Screening Helper
37,Neonatal ICU Support
38,Health Education Volunteer
39,Nutrition Counseling Assistant
40,Hand Hygiene Advocate
41,Community Health Outreach
42,Flu Shot Clinic Helper
43,Diabetes Education Support
44,Stroke Recovery Assistant
45,Patient Surveys and Feedback
46,Pain Management Support
47,Rehabilitation Therapy Assistant
48,Home Care Coordination
49,Organ Donation Awareness
50,Occupational Therapy Helper
51,Infant Care Volunteer
52,Blood Pressure Screening
53,Oncology Ward Companion
54,Child Life Specialist Assistant
55,Elderly Mobility Support
56,Bereavement Counseling
57,Prosthetics and Orthotics Helper
58,Hygiene Kit Distribution
59,COVID-19 Testing Support
60,Vaccination Center Volunteer
61,Waiting Room Storytelling
62,Post-Surgery Rehabilitation Aid
63,Charity Fundraising
64,Volunteer Trainer
65,Community Health Events
66,End-of-Life Support
67,Meditation & Mindfulness Coaching
68,Grief Counseling
69,Neurology Clinic Helper
70,Nutrition Program Assistant
71,Social Work Support
72,Prenatal Education Support
73,Hospital Gardening Volunteer
74,Sensory Room Volunteer
75,Public Health Research
76,Cancer Awareness Educator
77,Genetic Counseling Assistant
78,Hearing Screening Helper
79,Home Visit Coordination
80,Emergency Preparedness Educator
81,Family Counseling Assistant
82,Disability Support
83,Pet Therapy Coordinator
84,Volunteer Coordinator Assistant
85,Ambulance Support Volunteer
86,Disaster Relief Planning
87,Data Entry for Medical Research
88,Breastfeeding Support
89,Prenatal Yoga Coach
90,Domestic Violence Support
91,Wheelchair Maintenance
92,Heart Disease Awareness
93,Dialysis Center Assistant
94,Infant Massage Therapy
95,Senior Companion
96,Home Rehabilitation Assistance
97,Cognitive Therapy Support
98,Crisis Hotline Support
99,Preventative Care Advocate
100,Patient Wellbeing Surveys
101,Meditation for Pain Relief
102,Reflexology Assistant
103,Newborn Care Volunteer
104,Peer Support Groups
105,Postpartum Support
106,Smoking Cessation Coaching
107,Virtual Health Assistant
108,Pediatric Feeding Therapy
109,Hospice Music Therapy
110,Geriatric Fitness Coaching
111,Dementia Support Volunteer
112,Chronic Illness Peer Support
113,Volunteer Chaplaincy
114,Healthcare Advocacy
115,Children's Oncology Volunteer
116,Family Support for Terminally Ill
117,Handwriting Therapy Volunteer
118,Public Health Lectures
119,AIDS/HIV Support
120,Hygiene Awareness Programs
121,Maternity Ward Assistant
122,Palliative Care Support
123,Therapeutic Storytelling
124,Patient Rights Advocacy
125,CPR & First Aid Trainer
126,Ergonomics Education
127,Social Media for Health Campaigns
128,Support for Hospitalized Veterans
129,Organ Transplant Support
130,Adolescent Health Mentor
131,Community Nutrition Coach
132,Breast Cancer Screening Support
133,Physical Activity Coach
134,Caregiver Respite Support
135,Mental Wellness Hotline
136,Trauma Recovery Support
